team,player_name,position,caps,club,overall,pace,shooting,passing,dribbling,defending,physic,preferred_foot,total_goals,total_assists,total_minutes,market_value_in_eur,photo_url
Czech Republic,Matěj Kovář,GK,20,,74.0,43.0,32.0,54.0,40.0,25.0,77.0,Right,,,,,https://ui-avatars.com/api/?name=Mat%C4%9Bj%20Kov%C3%A1%C5%99&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,David Zima,DEF,25,,72.0,61.0,53.0,60.0,60.0,79.0,74.0,Right,2.0,0.0,4092.0,7000000.0,https://ui-avatars.com/api/?name=David%20Zima&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Tomáš Holeš,DEF,41,,71.0,62.0,37.0,71.0,51.0,79.0,81.0,Right,1.0,0.0,1075.0,50000.0,https://ui-avatars.com/api/?name=Tom%C3%A1%C5%A1%20Hole%C5%A1&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Robin Hranáč,DEF,14,,73.0,56.0,55.0,50.0,61.0,81.0,75.0,Right,1.0,2.0,3245.0,300000.0,https://ui-avatars.com/api/?name=Robin%20Hran%C3%A1%C4%8D&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Vladimír Coufal,DEF,62,,79.0,79.0,51.0,59.0,65.0,74.0,81.0,Right,1.0,29.0,16609.0,2700000.0,https://ui-avatars.com/api/?name=Vladim%C3%ADr%20Coufal&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Štěpán Chaloupek,DEF,5,,74.0,74.0,37.0,54.0,68.0,78.0,74.0,Right,1.0,1.0,580.0,10000000.0,https://ui-avatars.com/api/?name=%C5%A0t%C4%9Bp%C3%A1n%20Chaloupek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Ladislav Krejčí,DEF,27,,76.0,61.0,52.0,53.0,63.0,73.0,79.0,Right,4.0,2.0,5949.0,22000000.0,https://ui-avatars.com/api/?name=Ladislav%20Krej%C4%8D%C3%AD&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Vladimír Darida,MID,79,,76.0,78.0,56.0,79.0,79.0,56.0,71.0,Right,37.0,49.0,24936.0,375000.0,https://ui-avatars.com/api/?name=Vladim%C3%ADr%20Darida&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Adam Hložek,FWD,43,,75.0,86.0,70.0,68.0,72.0,28.0,75.0,Right,25.0,14.0,5583.0,12000000.0,https://ui-avatars.com/api/?name=Adam%20Hlo%C5%BEek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Patrik Schick,FWD,53,,75.0,75.0,69.0,60.0,77.0,34.0,61.0,Right,134.0,26.0,19249.0,20000000.0,https://ui-avatars.com/api/?name=Patrik%20Schick&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Jan Kuchta,FWD,31,,73.0,89.0,77.0,66.0,73.0,34.0,61.0,Right,8.0,6.0,2336.0,2700000.0,https://ui-avatars.com/api/?name=Jan%20Kuchta&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Lukáš Červ,MID,17,,75.0,71.0,77.0,72.0,72.0,65.0,72.0,Right,,,,,https://ui-avatars.com/api/?name=Luk%C3%A1%C5%A1%20%C4%8Cerv&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Mojmír Chytil,FWD,22,,69.0,86.0,72.0,67.0,80.0,39.0,70.0,Right,1.0,0.0,545.0,4000000.0,https://ui-avatars.com/api/?name=Mojm%C3%ADr%20Chytil&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,David Jurásek,DEF,18,,68.0,79.0,41.0,58.0,50.0,83.0,77.0,Right,0.0,4.0,2966.0,5000000.0,https://ui-avatars.com/api/?name=David%20Jur%C3%A1sek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Pavel Šulc,FWD,21,,75.0,82.0,70.0,71.0,79.0,27.0,60.0,Right,16.0,11.0,3666.0,20000000.0,https://ui-avatars.com/api/?name=Pavel%20%C5%A0ulc&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Jindřich Staněk,GK,14,,68.0,50.0,24.0,49.0,36.0,27.0,73.0,Right,0.0,0.0,540.0,2000000.0,https://ui-avatars.com/api/?name=Jind%C5%99ich%20Stan%C4%9Bk&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Lukáš Provod,MID,38,,79.0,64.0,63.0,72.0,79.0,51.0,60.0,Right,0.0,7.0,1476.0,8000000.0,https://ui-avatars.com/api/?name=Luk%C3%A1%C5%A1%20Provod&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Michal Sadílek,MID,35,,74.0,80.0,59.0,67.0,79.0,57.0,62.0,Right,8.0,18.0,13316.0,8000000.0,https://ui-avatars.com/api/?name=Michal%20Sad%C3%ADlek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Tomáš Chorý,FWD,22,,68.0,74.0,72.0,69.0,85.0,27.0,58.0,Right,1.0,0.0,1075.0,50000.0,https://ui-avatars.com/api/?name=Tom%C3%A1%C5%A1%20Chor%C3%BD&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Jaroslav Zelený,DEF,23,,72.0,80.0,57.0,63.0,56.0,82.0,78.0,Right,0.0,0.0,693.0,600000.0,https://ui-avatars.com/api/?name=Jaroslav%20Zelen%C3%BD&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,David Douděra,DEF,17,,77.0,64.0,47.0,68.0,56.0,72.0,73.0,Right,0.0,1.0,962.0,3500000.0,https://ui-avatars.com/api/?name=David%20Doud%C4%9Bra&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Tomáš Souček,MID,90,,71.0,62.0,77.0,71.0,80.0,64.0,70.0,Right,49.0,12.0,21946.0,12000000.0,https://ui-avatars.com/api/?name=Tom%C3%A1%C5%A1%20Sou%C4%8Dek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Lukáš Horníček,GK,1,,71.0,52.0,26.0,58.0,35.0,19.0,74.0,Right,,,,,https://ui-avatars.com/api/?name=Luk%C3%A1%C5%A1%20Horn%C3%AD%C4%8Dek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Alexandr Sojka,MID,2,,76.0,78.0,60.0,76.0,79.0,69.0,70.0,Right,0.0,0.0,235.0,2300000.0,https://ui-avatars.com/api/?name=Alexandr%20Sojka&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Hugo Sochůrek,MID,1,,77.0,80.0,61.0,65.0,68.0,74.0,79.0,Right,0.0,0.0,1788.0,300000.0,https://ui-avatars.com/api/?name=Hugo%20Soch%C5%AFrek&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Czech Republic,Denis Višinský,FWD,2,,76.0,74.0,74.0,60.0,79.0,33.0,62.0,Right,0.0,0.0,6810.0,200000.0,https://ui-avatars.com/api/?name=Denis%20Vi%C5%A1insk%C3%BD&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Raúl Rangel,GK,14,,70.0,42.0,29.0,51.0,37.0,23.0,72.0,Right,1.0,0.0,633.0,300000.0,https://ui-avatars.com/api/?name=Ra%C3%BAl%20Rangel&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Jorge Sánchez,DEF,59,,78.0,74.0,51.0,66.0,69.0,83.0,83.0,Right,3.0,6.0,2999.0,2200000.0,https://ui-avatars.com/api/?name=Jorge%20S%C3%A1nchez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,César Montes,DEF,67,,76.0,56.0,37.0,66.0,54.0,72.0,77.0,Right,9.0,1.0,7654.0,7000000.0,https://ui-avatars.com/api/?name=C%C3%A9sar%20Montes&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Edson Álvarez,DEF,98,,82.0,65.0,65.0,72.0,72.0,82.0,84.0,Right,15.0,10.0,16965.0,15000000.0,https://ui-avatars.com/api/?name=Edson%20%C3%81lvarez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Johan Vásquez,DEF,46,,70.0,81.0,51.0,51.0,51.0,83.0,75.0,Right,7.0,1.0,13170.0,13000000.0,https://ui-avatars.com/api/?name=Johan%20V%C3%A1squez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Érik Lira,MID,25,,76.0,62.0,55.0,65.0,70.0,51.0,71.0,Right,,,,,https://ui-avatars.com/api/?name=%C3%89rik%20Lira&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Luis Romo,MID,63,,79.0,63.0,77.0,68.0,74.0,60.0,76.0,Right,3.0,3.0,819.0,125000.0,https://ui-avatars.com/api/?name=Luis%20Romo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Álvaro Fidalgo,MID,4,,75.0,81.0,59.0,66.0,73.0,71.0,70.0,Right,1.0,0.0,751.0,10000000.0,https://ui-avatars.com/api/?name=%C3%81lvaro%20Fidalgo&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Raúl Jiménez,FWD,124,,70.0,80.0,79.0,60.0,84.0,27.0,77.0,Right,113.0,44.0,23506.0,4000000.0,https://ui-avatars.com/api/?name=Ra%C3%BAl%20Jim%C3%A9nez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Alexis Vega,FWD,52,,81.0,75.0,70.0,57.0,74.0,31.0,77.0,Right,0.0,1.0,1371.0,500000.0,https://ui-avatars.com/api/?name=Alexis%20Vega&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
Mexico,Santiago Giménez,FWD,47,,81.0,78.0,82.0,58.0,76.0,32.0,78.0,Right,72.0,19.0,8925.0,20000000.0,https://ui-avatars.com/api/?name=Santiago%20Gim%C3%A9nez&background=0d1f3c&color=00e5ff&size=120&bold=true&rounded=true
