team,squad_size,team_avg_overall,team_avg_shooting,team_avg_passing,team_avg_defending,team_avg_pace,team_avg_dribbling,team_avg_physic,team_star_rating,team_total_career_goals,team_avg_market_value,team_gk_rating,team_depth_score
Algeria,26,75.03846153846153,59.80769230769231,63.80769230769231,55.69230769230769,67.65384615384616,65.8076923076923,70.84615384615384,81.0,449.0,11145454.545454545,74.33333333333333,3.4348888684295944
Argentina,27,82.44444444444444,59.48148148148148,68.85185185185185,55.925925925925924,70.51851851851852,68.74074074074075,75.62962962962963,88.0,1103.0,31240740.740740743,84.0,3.5769920037472542
Australia,26,74.03846153846153,56.46153846153846,62.96153846153846,53.46153846153846,71.61538461538461,65.38461538461539,71.0,79.0,140.0,2676041.6666666665,69.33333333333333,4.024731238040813
Austria,26,74.6923076923077,57.69230769230769,66.73076923076923,57.15384615384615,67.26923076923077,67.8076923076923,72.03846153846153,81.0,460.0,8892307.692307692,74.66666666666667,3.2096009816702233
Belgium,26,79.88461538461539,56.61538461538461,64.34615384615384,57.92307692307692,72.0,65.73076923076923,72.38461538461539,90.0,1066.0,21469230.769230768,81.0,4.338911596950766
Bosnia and Herzegovina,26,73.8076923076923,56.34615384615385,64.23076923076923,55.5,71.23076923076923,66.03846153846153,72.6923076923077,79.0,388.0,5166666.666666667,71.33333333333333,4.07940417972263
Brazil,26,80.96153846153847,61.23076923076923,66.92307692307692,55.15384615384615,72.61538461538461,70.07692307692308,70.26923076923077,92.0,877.0,22403846.153846152,81.33333333333333,5.047619393185419
Canada,26,75.53846153846153,57.23076923076923,63.38461538461539,56.88461538461539,72.76923076923077,65.15384615384616,70.26923076923077,86.0,327.0,9125000.0,72.0,4.545158032286835
Cape Verde,26,73.92307692307692,56.88461538461539,65.5,59.11538461538461,69.76923076923077,66.65384615384616,71.76923076923077,79.0,242.0,3257291.6666666665,72.66666666666667,3.1231148159883837
Colombia,26,74.96153846153847,57.84615384615385,64.1923076923077,56.76923076923077,69.5,67.3076923076923,73.11538461538461,85.0,793.0,11612500.0,75.66666666666667,3.820793312711581
Croatia,26,77.15384615384616,57.73076923076923,65.73076923076923,57.92307692307692,70.26923076923077,67.96153846153847,70.92307692307692,85.0,794.0,13434615.384615384,72.66666666666667,4.230293679567013
Curaçao,26,74.26923076923077,60.26923076923077,65.23076923076923,54.57692307692308,69.88461538461539,66.5,68.84615384615384,79.0,240.0,1342045.4545454546,73.33333333333333,3.683017157795411
Czech Republic,26,73.61538461538461,56.5,63.84615384615385,55.0,70.76923076923077,66.23076923076923,71.03846153846153,79.0,289.0,6220652.173913044,71.0,3.18844066059788
DR Congo,26,72.65384615384616,57.30769230769231,63.34615384615385,53.96153846153846,70.73076923076923,69.3076923076923,70.61538461538461,79.0,430.0,5978000.0,73.0,3.1741746353004294
Ecuador,26,76.38461538461539,57.26923076923077,66.46153846153847,58.38461538461539,70.5,68.11538461538461,73.26923076923077,82.0,199.0,13555769.23076923,76.0,3.45342639217254
Egypt,26,76.15384615384616,56.73076923076923,62.73076923076923,52.65384615384615,70.84615384615384,66.8076923076923,71.65384615384616,89.0,431.0,5692500.0,72.5,4.134656529312274
England,26,80.23076923076923,59.38461538461539,66.61538461538461,56.73076923076923,70.42307692307692,67.1923076923077,73.1923076923077,89.0,1166.0,48284615.384615384,82.33333333333333,4.338734306755299
