player_name,team,position,caps,club,group
Matěj Kovář,Czech Republic,GK,20,,Group A
David Zima,Czech Republic,DEF,25,,Group A
Tomáš Holeš,Czech Republic,DEF,41,,Group A
Robin Hranáč,Czech Republic,DEF,14,,Group A
Vladimír Coufal,Czech Republic,DEF,62,,Group A
Štěpán Chaloupek,Czech Republic,DEF,5,,Group A
Ladislav Krejčí,Czech Republic,DEF,27,,Group A
Vladimír Darida,Czech Republic,MID,79,,Group A
Adam Hložek,Czech Republic,FWD,43,,Group A
Patrik Schick,Czech Republic,FWD,53,,Group A
Jan Kuchta,Czech Republic,FWD,31,,Group A
Lukáš Červ,Czech Republic,MID,17,,Group A
Mojmír Chytil,Czech Republic,FWD,22,,Group A
David Jurásek,Czech Republic,DEF,18,,Group A
Pavel Šulc,Czech Republic,FWD,21,,Group A
Jindřich Staněk,Czech Republic,GK,14,,Group A
Lukáš Provod,Czech Republic,MID,38,,Group A
Michal Sadílek,Czech Republic,MID,35,,Group A
Tomáš Chorý,Czech Republic,FWD,22,,Group A
Jaroslav Zelený,Czech Republic,DEF,23,,Group A
David Douděra,Czech Republic,DEF,17,,Group A
Tomáš Souček,Czech Republic,MID,90,,Group A
Lukáš Horníček,Czech Republic,GK,1,,Group A
Alexandr Sojka,Czech Republic,MID,2,,Group A
Hugo Sochůrek,Czech Republic,MID,1,,Group A
Denis Višinský,Czech Republic,FWD,2,,Group A
Raúl Rangel,Mexico,GK,14,,Group A
Jorge Sánchez,Mexico,DEF,59,,Group A
César Montes,Mexico,DEF,67,,Group A
Edson Álvarez,Mexico,DEF,98,,Group A
Johan Vásquez,Mexico,DEF,46,,Group A
Érik Lira,Mexico,MID,25,,Group A
Luis Romo,Mexico,MID,63,,Group A
Álvaro Fidalgo,Mexico,MID,4,,Group A
Raúl Jiménez,Mexico,FWD,124,,Group A
Alexis Vega,Mexico,FWD,52,,Group A
Santiago Giménez,Mexico,FWD,47,,Group A
Carlos Acevedo,Mexico,GK,7,,Group A
Guillermo Ochoa,Mexico,GK,152,,Group A
Armando González,Mexico,FWD,7,,Group A
Israel Reyes,Mexico,DEF,34,,Group A
Julián Quiñones,Mexico,FWD,22,,Group A
Orbelín Pineda,Mexico,MID,92,,Group A
Obed Vargas,Mexico,MID,6,,Group A
Gilberto Mora,Mexico,MID,8,,Group A
Mateo Chávez,Mexico,DEF,10,,Group A
César Huerta,Mexico,FWD,26,,Group A
Guillermo Martínez,Mexico,FWD,12,,Group A
Jesús Gallardo,Mexico,DEF,121,,Group A
Luis Chávez,Mexico,MID,45,,Group A
Roberto Alvarado,Mexico,FWD,67,,Group A
Brian Gutiérrez,Mexico,MID,7,,Group A
Ronwen Williams,South Africa,GK,62,,Group A
Thabang Matuludi,South Africa,DEF,3,,Group A
Khulumani Ndamane,South Africa,DEF,5,,Group A
Teboho Mokoena,South Africa,MID,51,,Group A
Thalente Mbatha,South Africa,MID,15,,Group A
Aubrey Modiba,South Africa,DEF,44,,Group A
Oswin Appollis,South Africa,FWD,26,,Group A
Tshepang Moremi,South Africa,FWD,10,,Group A
Lyle Foster,South Africa,FWD,27,,Group A
Relebohile Mofokeng,South Africa,FWD,13,,Group A
Themba Zwane,South Africa,MID,54,,Group A
Thapelo Maseko,South Africa,FWD,10,,Group A
Sphephelo Sithole,South Africa,MID,28,,Group A
Mbekezeli Mbokazi,South Africa,DEF,10,,Group A
Iqraam Rayners,South Africa,FWD,14,,Group A
Sipho Chaine,South Africa,GK,4,,Group A
Evidence Makgopa,South Africa,FWD,26,,Group A
Samukele Kabini,South Africa,DEF,6,,Group A
Nkosinathi Sibisi,South Africa,DEF,20,,Group A
Khuliso Mudau,South Africa,DEF,32,,Group A
Ime Okon,South Africa,DEF,8,,Group A
Ricardo Goss,South Africa,GK,5,,Group A
Jayden Adams,South Africa,MID,5,,Group A
Olwethu Makhanya,South Africa,DEF,1,,Group A
Kamogelo Sebelebele,South Africa,FWD,3,,Group A
Bradley Cross,South Africa,DEF,1,,Group A
Kim Seung-gyu,South Korea,GK,87,,Group A
Lee Han-beom,South Korea,DEF,8,,Group A
Lee Gi-hyuk,South Korea,MID,3,,Group A
Kim Min-jae,South Korea,DEF,79,,Group A
Kim Tae-hyeon,South Korea,DEF,7,,Group A
Hwang In-beom,South Korea,MID,73,,Group A
Son Heung-min,South Korea,FWD,144,,Group A
Paik Seung-ho,South Korea,MID,27,,Group A
Cho Gue-sung,South Korea,FWD,44,,Group A
Lee Jae-sung,South Korea,MID,105,,Group A
Hwang Hee-chan,South Korea,MID,79,,Group A
Song Bum-keun,South Korea,GK,3,,Group A
Lee Tae-seok,South Korea,DEF,15,,Group A
Cho Wi-je,South Korea,DEF,1,,Group A
Kim Moon-hwan,South Korea,DEF,35,,Group A
Park Jin-seob,South Korea,DEF,14,,Group A
Bae Jun-ho,South Korea,MID,13,,Group A
Oh Hyeon-gyu,South Korea,FWD,27,,Group A
Lee Kang-in,South Korea,MID,47,,Group A
Yang Hyun-jun,South Korea,MID,9,,Group A
Jo Hyeon-woo,South Korea,GK,48,,Group A
Seol Young-woo,South Korea,DEF,34,,Group A
Jens Castrop,South Korea,DEF,7,,Group A
Kim Jin-gyu,South Korea,MID,22,,Group A
Eom Ji-sung,South Korea,MID,9,,Group A
Lee Dong-gyeong,South Korea,MID,18,,Group A
Nikola Vasilj,Bosnia and Herzegovina,GK,26,,Group B
Nihad Mujakić,Bosnia and Herzegovina,DEF,12,,Group B
Dennis Hadžikadunić,Bosnia and Herzegovina,DEF,32,,Group B
Tarik Muharemović,Bosnia and Herzegovina,DEF,14,,Group B
Sead Kolašinac,Bosnia and Herzegovina,DEF,65,,Group B
Benjamin Tahirović,Bosnia and Herzegovina,MID,28,,Group B
Amar Dedić,Bosnia and Herzegovina,DEF,28,,Group B
Armin Gigović,Bosnia and Herzegovina,MID,20,,Group B
Samed Baždar,Bosnia and Herzegovina,FWD,13,,Group B
Ermedin Demirović,Bosnia and Herzegovina,FWD,40,,Group B
Edin Džeko,Bosnia and Herzegovina,FWD,148,,Group B
Mladen Jurkas,Bosnia and Herzegovina,GK,0,,Group B
Ivan Bašić,Bosnia and Herzegovina,MID,17,,Group B
Ivan Šunjić,Bosnia and Herzegovina,MID,11,,Group B
Amar Memić,Bosnia and Herzegovina,MID,13,,Group B
Amir Hadžiahmetović,Bosnia and Herzegovina,MID,36,,Group B
Dženis Burnić,Bosnia and Herzegovina,MID,20,,Group B
Nikola Katić,Bosnia and Herzegovina,DEF,17,,Group B
Kerim Alajbegović,Bosnia and Herzegovina,FWD,10,,Group B
Esmir Bajraktarević,Bosnia and Herzegovina,FWD,16,,Group B
Stjepan Radeljić,Bosnia and Herzegovina,DEF,5,,Group B
Martin Zlomislić,Bosnia and Herzegovina,GK,3,,Group B
Haris Tabaković,Bosnia and Herzegovina,FWD,10,,Group B
Arjan Malić,Bosnia and Herzegovina,DEF,8,,Group B
Jovo Lukić,Bosnia and Herzegovina,FWD,3,,Group B
Ermin Mahmić,Bosnia and Herzegovina,MID,2,,Group B
Dayne St. Clair,Canada,GK,20,,Group B
Alistair Johnston,Canada,DEF,58,,Group B
Alfie Jones,Canada,DEF,2,,Group B
Luc de Fougerolles,Canada,DEF,13,,Group B
Joel Waterman,Canada,DEF,17,,Group B
Mathieu Choinière,Canada,MID,23,,Group B
Stephen Eustáquio,Canada,MID,56,,Group B
Ismaël Koné,Canada,MID,40,,Group B
Cyle Larin,Canada,FWD,90,,Group B
Jonathan David,Canada,FWD,77,,Group B
Liam Millar,Canada,MID,41,,Group B
Tani Oluwaseyi,Canada,FWD,24,,Group B
Derek Cornelius,Canada,DEF,44,,Group B
Jacob Shaffelburg,Canada,MID,31,,Group B
Moïse Bombito,Canada,DEF,20,,Group B
Maxime Crépeau,Canada,GK,32,,Group B
Tajon Buchanan,Canada,FWD,60,,Group B
Owen Goodman,Canada,GK,0,,Group B
Alphonso Davies,Canada,DEF,58,,Group B
Ali Ahmed,Canada,FWD,24,,Group B
Jonathan Osorio,Canada,MID,90,,Group B
Richie Laryea,Canada,DEF,75,,Group B
Niko Sigur,Canada,DEF,19,,Group B
Promise David,Canada,FWD,10,,Group B
Nathan Saliba,Canada,MID,15,,Group B
Jayden Nelson,Canada,FWD,14,,Group B
Mahmud Abunada,Qatar,GK,5,,Group B
Pedro Miguel,Qatar,DEF,99,,Group B
Lucas Mendes,Qatar,DEF,25,,Group B
Issa Laye,Qatar,DEF,4,,Group B
Jassem Gaber,Qatar,DEF,32,,Group B
Abdulaziz Hatem,Qatar,MID,117,,Group B
Ahmed Alaaeldin,Qatar,FWD,68,,Group B
Edmilson Junior,Qatar,FWD,16,,Group B
Mohammed Muntari,Qatar,FWD,67,,Group B
Hassan Al-Haydos,Qatar,FWD,186,,Group B
Akram Afif,Qatar,FWD,125,,Group B
Karim Boudiaf,Qatar,MID,118,,Group B
Ayoub Al-Oui,Qatar,DEF,6,,Group B
Homam Ahmed,Qatar,DEF,68,,Group B
Yusuf Abdurisag,Qatar,FWD,39,,Group B
Boualem Khoukhi,Qatar,DEF,116,,Group B
Ahmed Al-Ganehi,Qatar,MID,13,,Group B
Sultan Al-Brake,Qatar,DEF,17,,Group B
Almoez Ali,Qatar,FWD,115,,Group B
Ahmed Fathy,Qatar,MID,48,,Group B
Salah Zakaria,Qatar,GK,8,,Group B
Meshaal Barsham,Qatar,GK,52,,Group B
Assim Madibo,Qatar,MID,51,,Group B
Tahsin Jamshid,Qatar,FWD,3,,Group B
Al-Hashmi Al-Hussain,Qatar,DEF,8,,Group B
Mohamed Manai,Qatar,FWD,10,,Group B
Gregor Kobel,Switzerland,GK,21,,Group B
Miro Muheim,Switzerland,DEF,10,,Group B
Silvan Widmer,Switzerland,DEF,60,,Group B
Nico Elvedi,Switzerland,DEF,67,,Group B
Manuel Akanji,Switzerland,DEF,81,,Group B
Denis Zakaria,Switzerland,MID,65,,Group B
Breel Embolo,Switzerland,FWD,86,,Group B
Remo Freuler,Switzerland,MID,88,,Group B
Johan Manzambi,Switzerland,MID,12,,Group B
Granit Xhaka,Switzerland,MID,146,,Group B
Dan Ndoye,Switzerland,FWD,31,,Group B
Yvon Mvogo,Switzerland,GK,13,,Group B
Ricardo Rodriguez,Switzerland,DEF,138,,Group B
Ardon Jashari,Switzerland,MID,8,,Group B
Djibril Sow,Switzerland,MID,52,,Group B
Christian Fassnacht,Switzerland,FWD,23,,Group B
Rubén Vargas,Switzerland,FWD,61,,Group B
Eray Cömert,Switzerland,DEF,22,,Group B
Noah Okafor,Switzerland,FWD,25,,Group B
Michel Aebischer,Switzerland,MID,40,,Group B
Marvin Keller,Switzerland,GK,1,,Group B
Fabian Rieder,Switzerland,MID,28,,Group B
Zeki Amdouni,Switzerland,FWD,29,,Group B
Aurèle Amenda,Switzerland,DEF,7,,Group B
Luca Jaquez,Switzerland,DEF,3,,Group B
Cedric Itten,Switzerland,FWD,15,,Group B
Alisson,Brazil,GK,78,,Group C
Éderson Silva,Brazil,MID,3,,Group C
Gabriel Magalhães,Brazil,DEF,17,,Group C
Marquinhos,Brazil,DEF,105,,Group C
Casemiro,Brazil,MID,86,,Group C
Alex Sandro,Brazil,DEF,45,,Group C
Vinícius Júnior,Brazil,FWD,49,,Group C
Bruno Guimarães,Brazil,MID,43,,Group C
Matheus Cunha,Brazil,FWD,23,,Group C
Neymar,Brazil,FWD,128,,Group C
Raphinha,Brazil,FWD,39,,Group C
Weverton,Brazil,GK,11,,Group C
Danilo Luiz,Brazil,DEF,70,,Group C
Bremer,Brazil,DEF,8,,Group C
