date,home_team,away_team,outcome,sample_weight,home_win_rate,away_win_rate,home_avg_goals_scored,home_avg_goals_conceded,away_avg_goals_scored,away_avg_goals_conceded,head_to_head_home_win_rate,home_form,away_form,home_goal_diff,away_goal_diff
1872-11-30,Scotland,England,1,4.7096611343908456e-14,0.33,0.33,1.2,1.2,1.2,1.2,0.5,1.0,1.0,0.0,0.0
1873-03-08,England,Scotland,2,4.9694769324393495e-14,0.33,0.33,1.2,1.2,1.2,1.2,0.5,1.0,1.0,0.0,0.0
1874-03-07,Scotland,England,2,6.066407861924849e-14,0.33,0.33,1.2,1.2,1.2,1.2,0.5,1.0,1.0,0.0,0.0
1875-03-06,England,Scotland,1,7.405468391853283e-14,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.5,1.3333333333333333,1.3333333333333333,0.3333333333333333,-0.3333333333333333
1876-03-04,Scotland,England,2,9.040104679894901e-14,0.25,0.25,1.5,1.75,1.75,1.5,0.5,1.25,1.25,-0.25,0.25
1876-03-25,Scotland,Wales,2,9.144728593629885e-14,0.4,0.33,1.8,1.4,1.2,1.2,0.5,1.6,1.0,0.4,0.0
1877-03-03,England,Scotland,0,1.1035560250768375e-13,0.2,0.5,1.4,1.8,2.1666666666666665,1.1666666666666667,0.5,1.0,2.0,-0.4,1.0
1877-03-05,Wales,Scotland,0,1.1047660644568492e-13,0.33,0.5714285714285714,1.2,1.2,2.2857142857142856,1.1428571428571428,0.5,1.0,2.6,0.0,1.1428571428571428
1878-03-02,Scotland,England,2,1.3471480072480228e-13,0.625,0.16666666666666666,2.25,1.0,1.3333333333333333,2.0,0.5,2.6,0.8,1.25,-0.6666666666666666
1878-03-23,Scotland,Wales,2,1.3627389657478714e-13,0.6666666666666666,0.33,2.7777777777777777,1.1111111111111112,1.2,1.2,0.5,3.0,1.0,1.6666666666666667,0.0
1879-01-18,England,Wales,2,1.6070948800413592e-13,0.14285714285714285,0.0,1.4285714285714286,2.7142857142857144,0.0,5.0,0.5,0.2,0.0,-1.2857142857142858,-5.0
