team,squad_size,team_avg_overall,team_avg_shooting,team_avg_passing,team_avg_defending,team_avg_pace,team_avg_dribbling,team_avg_physic,team_star_rating,team_gk_rating,team_depth_score
Albania,26,75.76923076923077,59.23076923076923,63.30769230769231,54.07692307692308,72.23076923076923,67.84615384615384,71.8076923076923,81,72.66666666666667,3.5361865596452042
Argentina,26,82.1923076923077,63.46153846153846,72.34615384615384,57.42307692307692,71.26923076923077,72.96153846153847,72.8076923076923,88,83.0,3.0727086522380316
Australia,26,75.3076923076923,59.38461538461539,65.76923076923077,53.69230769230769,70.5,66.1923076923077,70.96153846153847,81,73.66666666666667,3.069452469340169
Bahrain,28,77.17857142857143,58.214285714285715,65.21428571428571,54.714285714285715,68.92857142857143,67.57142857142857,70.57142857142857,81,77.66666666666667,3.1393980483239305
Belgium,26,77.61538461538461,58.23076923076923,66.03846153846153,52.92307692307692,72.03846153846153,67.23076923076923,73.3076923076923,90,77.66666666666667,5.23126694464676
Bolivia,26,75.3076923076923,57.03846153846154,64.65384615384616,56.84615384615385,68.73076923076923,67.57692307692308,72.76923076923077,80,73.66666666666667,2.6194538479496945
Brazil,26,81.23076923076923,60.23076923076923,69.26923076923077,55.88461538461539,73.3076923076923,70.42307692307692,73.8076923076923,92,83.66666666666667,5.225381841034718
Cameroon,26,75.3076923076923,57.80769230769231,63.73076923076923,52.88461538461539,72.0,67.23076923076923,71.07692307692308,84,78.0,3.5414034592994996
Canada,26,76.07692307692308,61.26923076923077,62.26923076923077,52.92307692307692,72.46153846153847,68.03846153846153,71.03846153846153,83,74.66666666666667,3.7727769817266106
Chile,26,76.38461538461539,59.88461538461539,65.61538461538461,52.46153846153846,71.3076923076923,66.73076923076923,72.1923076923077,81,77.0,2.994353660834646
Colombia,26,75.1923076923077,57.69230769230769,64.92307692307692,54.03846153846154,69.26923076923077,66.07692307692308,69.88461538461539,84,75.0,4.0201415972000865
Costa Rica,26,75.61538461538461,59.88461538461539,64.42307692307692,54.34615384615385,70.88461538461539,66.26923076923077,71.8076923076923,81,76.0,4.010754772627448
Croatia,26,76.88461538461539,58.30769230769231,64.26923076923077,57.61538461538461,66.96153846153847,65.76923076923077,71.6923076923077,85,78.33333333333333,4.1504401990817605
Denmark,28,76.07142857142857,57.17857142857143,64.03571428571429,55.17857142857143,71.57142857142857,65.78571428571429,72.32142857142857,82,76.66666666666667,3.8579266301470643
Ecuador,30,76.4,58.333333333333336,63.86666666666667,54.93333333333333,69.73333333333333,67.93333333333334,70.46666666666667,82,73.0,3.1905031491643427
Egypt,26,76.65384615384616,58.19230769230769,63.61538461538461,55.92307692307692,70.84615384615384,67.15384615384616,72.6923076923077,89,74.33333333333333,4.4626656401062155
England,26,79.5,61.23076923076923,69.5,53.88461538461539,71.96153846153847,69.73076923076923,71.5,89,77.33333333333333,6.048140210014976
France,26,80.38461538461539,60.42307692307692,66.61538461538461,56.5,74.84615384615384,69.96153846153847,74.0,91,77.0,5.463163355250678
Germany,26,78.76923076923077,63.42307692307692,66.88461538461539,51.42307692307692,72.03846153846153,69.38461538461539,71.61538461538461,87,79.66666666666667,5.757136040134485
Ghana,26,75.92307692307692,58.92307692307692,62.30769230769231,54.19230769230769,71.26923076923077,66.42307692307692,73.53846153846153,83,72.33333333333333,3.938762007769212
